Director,Tier,CareerPhase,Region,PrimaryLane,SecondaryLanes,ScaleProven,TonalDNA,Last3Features,LastFilm,LastFilmYear,LastFilmType,NextProject,NextStatus,ActorMagnet,PackagingNotes,OpsNotes,ResearchStatus,SeededOn,WikipediaSearch,IMDbSearch,TheNumbersURL,Last3_Source,Film1_Title,Film1_ReleaseDate,Film1_DomesticGrossUSD,Film1_IntlGrossUSD,Film1_WWGrossUSD,Film2_Title,Film2_ReleaseDate,Film2_DomesticGrossUSD,Film2_IntlGrossUSD,Film2_WWGrossUSD,Film3_Title,Film3_ReleaseDate,Film3_DomesticGrossUSD,Film3_IntlGrossUSD,Film3_WWGrossUSD,LastFilmWWGrossUSD,BudgetBandTypical,BudgetBandLowUSD,BudgetBandHighUSD,id,director_qid,tier_ai,tier_ai_confidence,tier_ai_as_of,availability_ai,availability_ai_confidence,availability_ai_as_of,ai_evidence_urls,reps_manual,internal_notes,exclude,watchlist_priority
Stephen Sommers,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Stephen+Sommers,https://www.imdb.com/find/?q=Stephen+Sommers&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:ac190948bc6e2332799745ff50f341901feca285,,,,,,,,,,,,
Susanna Fogel,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Susanna+Fogel,https://www.imdb.com/find/?q=Susanna+Fogel&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:08b9ee8d8df538502c733b0209043624cddbb511,,,,,,,,,,,,
Tamra Davis,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Tamra+Davis,https://www.imdb.com/find/?q=Tamra+Davis&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:42eb15902043a0e62fb3b1ddaea162753cde625a,,,,,,,,,,,,
Taylor Sheridan,T3,Established,US/Intl,Thriller/Mystery,"Crime/Heist,Drama",Low/Mid,"tense, grounded",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Taylor+Sheridan,https://www.imdb.com/find/?q=Taylor+Sheridan&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:b7c985f36750c3e4ba0249d7dbf0d2cf37bc771b,,,,,,,,,,,,
Thea Sharrock,T3,Established,US/UK,Romantic comedy,"Comedy,Drama",Mid/Studio,"warm, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Thea+Sharrock,https://www.imdb.com/find/?q=Thea+Sharrock&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:1c646037f3adef1e07050ec57d5494bf1b123822,,,,,,,,,,,,
Theodore Melfi,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Theodore+Melfi,https://www.imdb.com/find/?q=Theodore+Melfi&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:2b6b6bbf2e5ff13b4a169c612a121a638b3b8a61,,,,,,,,,,,,
Tim Story,T3,Established (high output),US/Intl,Comedy,"Romantic comedy,Action-comedy",Low/Mid,"broad, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Tim+Story,https://www.imdb.com/find/?q=Tim+Story&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e6ce60ecc8005aa5f695851d8a3c22a43b6ab9da,,,,,,,,,,,,
Timur Bekmambetov,T3,Established (high output),US/Intl,Action,Thriller/Mystery,Mid/Studio,"efficient, propulsive",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Timur+Bekmambetov,https://www.imdb.com/find/?q=Timur+Bekmambetov&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:5c904b7f8d728c99f6d578d80f2401a61eb64e9d,,,,,,,,,,,,
Tom Gormican,T3,Established,US/UK,Romantic comedy,"Comedy,Drama",Mid/Studio,"warm, commercial",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Tom+Gormican,https://www.imdb.com/find/?q=Tom+Gormican&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:8ed5bb88019df13b749da677b59a8cbcc626587d,,,,,,,,,,,,
Tom Hooper,T3,Established,US/UK,Drama,"Biopic,Prestige drama",Mid,character-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Tom+Hooper,https://www.imdb.com/find/?q=Tom+Hooper&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:d4d4a2541e065ef19938b558cf8fa3142f2e989f,,,,,,,,,,,,
Veronika Franz,T3,Established,US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Veronika+Franz,https://www.imdb.com/find/?q=Veronika+Franz&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:962594553f4a505561f3b54bee5e8e4da0979926,,,,,,,,,,,,
William Brent Bell,T3,Established (high output),US/Intl,Horror,Thriller/Mystery,Low/Mid,genre-forward,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=William+Brent+Bell,https://www.imdb.com/find/?q=William+Brent+Bell&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:5d45ea76b6364760d64eb39669c9a8ee08633b5b,,,,,,,,,,,,
Alice Rohrwacher,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Alice+Rohrwacher,https://www.imdb.com/find/?q=Alice+Rohrwacher&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:41bdfeaa62d5fb8d90f66e5d77d6c2576904b8df,,,,,,,,,,,,
Ana Lily Amirpour,T4,Selective,Intl/US,Horror,"Thriller/Mystery,Prestige drama",Low/Mid,"bold, auteur",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ana+Lily+Amirpour,https://www.imdb.com/find/?q=Ana+Lily+Amirpour&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a26aeb389655928a09bfddce0eae23dcb61097fc,,,,,,,,,,,,
Andrea Arnold,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Andrea+Arnold,https://www.imdb.com/find/?q=Andrea+Arnold&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:98ec0d6aa8deb26712e80067ddb145f20a6a2b8c,,,,,,,,,,,,
Apichatpong Weerasethakul,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Apichatpong+Weerasethakul,https://www.imdb.com/find/?q=Apichatpong+Weerasethakul&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:6285942e8db7a8ecac93d85d1a2a793929eb9d8b,,,,,,,,,,,,
Benedict Andrews,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Benedict+Andrews,https://www.imdb.com/find/?q=Benedict+Andrews&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:57540936fc48fb1d106a228aaba12d2ac357e7f2,,,,,,,,,,,,
Brandon Cronenberg,T4,Selective,Intl/US,Horror,"Thriller/Mystery,Prestige drama",Low/Mid,"bold, auteur",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Brandon+Cronenberg,https://www.imdb.com/find/?q=Brandon+Cronenberg&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c3f0edc3f0a93ec7400386ab0edfef2f2e28cef3,,,,,,,,,,,,
Béla Tarr,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=B%C3%A9la+Tarr,https://www.imdb.com/find/?q=B%C3%A9la+Tarr&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:9331902997ef153b0f1b38f556c98685f62769c9,,,,,,,,,,,,
Claire Denis,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Claire+Denis,https://www.imdb.com/find/?q=Claire+Denis&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:b7a0e333b00016a9714afcbf77cf1003753b65be,,,,,,,,,,,,
Coralie Fargeat,T4,Selective,Intl/US,Horror,"Thriller/Mystery,Prestige drama",Low/Mid,"bold, auteur",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Coralie+Fargeat,https://www.imdb.com/find/?q=Coralie+Fargeat&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:778fb00c965c05d275e60b5410c7d694cb3de48f,,,,,,,,,,,,
Céline Sciamma,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=C%C3%A9line+Sciamma,https://www.imdb.com/find/?q=C%C3%A9line+Sciamma&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:9ac5dfdf779dbb855f19b2135f64eb7dc8f14f3c,,,,,,,,,,,,
Debra Granik,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Debra+Granik,https://www.imdb.com/find/?q=Debra+Granik&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:9f834d35d4967f8361479c48fe9f867f58883733,,,,,,,,,,,,
Eliza Hittman,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Eliza+Hittman,https://www.imdb.com/find/?q=Eliza+Hittman&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:baa29aa12f6c0b71205f8491033efce349f31c0f,,,,,,,,,,,,
Issa López,T4,Selective,Intl/US,Horror,"Thriller/Mystery,Prestige drama",Low/Mid,"bold, auteur",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Issa+L%C3%B3pez,https://www.imdb.com/find/?q=Issa+L%C3%B3pez&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:0f19d55937fd5dbf093c9f98116ce7995f1f0ecc,,,,,,,,,,,,
Jeff Nichols,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Jeff+Nichols,https://www.imdb.com/find/?q=Jeff+Nichols&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:85fc5d79c6ee3e0c5a5c66578690be697a096961,,,,,,,,,,,,
Joachim Trier,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Joachim+Trier,https://www.imdb.com/find/?q=Joachim+Trier&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:b4388768d6385ee6bc90cb1997bf98cb87c66c10,,,,,,,,,,,,
Julia Ducournau,T4,Selective,Intl/US,Horror,"Thriller/Mystery,Prestige drama",Low/Mid,"bold, auteur",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Julia+Ducournau,https://www.imdb.com/find/?q=Julia+Ducournau&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c800a4c98267623d75fca378fa3190ace80ba73c,,,,,,,,,,,,
Kelly Fremon Craig,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Kelly+Fremon+Craig,https://www.imdb.com/find/?q=Kelly+Fremon+Craig&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:491ed47978296559331e18342549d0cc9afb020d,,,,,,,,,,,,
Kelly Reichardt,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Kelly+Reichardt,https://www.imdb.com/find/?q=Kelly+Reichardt&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:ea0738a1d47fc723fb4362e2d40de2847703f813,,,,,,,,,,,,
Lucrecia Martel,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Lucrecia+Martel,https://www.imdb.com/find/?q=Lucrecia+Martel&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:b49e9a3c87d455500185f6553037f762d6e9f033,,,,,,,,,,,,
Lynne Ramsay,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Lynne+Ramsay,https://www.imdb.com/find/?q=Lynne+Ramsay&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:d452dbc4f435fe91f2f1525f09d396fb80feb197,,,,,,,,,,,,
Mia Hansen-Løve,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Mia+Hansen-L%C3%B8ve,https://www.imdb.com/find/?q=Mia+Hansen-L%C3%B8ve&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e69de812dc9a57ff40e2bfc7c3172df20e067c33,,,,,,,,,,,,
Panos Cosmatos,T4,Selective,Intl/US,Horror,"Thriller/Mystery,Prestige drama",Low/Mid,"bold, auteur",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Panos+Cosmatos,https://www.imdb.com/find/?q=Panos+Cosmatos&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:c2b19d505a6bffeec90596f928b481f23d321dce,,,,,,,,,,,,
Prano Bailey-Bond,T4,Selective,Intl/US,Horror,"Thriller/Mystery,Prestige drama",Low/Mid,"bold, auteur",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Prano+Bailey-Bond,https://www.imdb.com/find/?q=Prano+Bailey-Bond&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:ae4d175ac5d25c47409dff58c4dec7741d08c58a,,,,,,,,,,,,
Rose Glass,T4,Selective,Intl/US,Horror,"Thriller/Mystery,Prestige drama",Low/Mid,"bold, auteur",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Rose+Glass,https://www.imdb.com/find/?q=Rose+Glass&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:285485b066f5644f67140fa2ff7f84a358278ae7,,,,,,,,,,,,
Ryusuke Hamaguchi,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Ryusuke+Hamaguchi,https://www.imdb.com/find/?q=Ryusuke+Hamaguchi&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:e2e92e68a4a616ae2c2e6ef52b9f2ea426b58754,,,,,,,,,,,,
Sean Baker,T4,Selective,Intl/US,Prestige drama,Drama,Low/Mid,"auteur, intimate",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Sean+Baker,https://www.imdb.com/find/?q=Sean+Baker&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:465a5071962a4c3a8120e261676d5bf9abcf1051,,,,,,,,,,,,
A. V. Rockwell,T5,Breakout,US/Intl,Drama,"Prestige drama,Thriller/Mystery",Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=A.+V.+Rockwell,https://www.imdb.com/find/?q=A.+V.+Rockwell&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:0f77f499b6dd82df2d21e0509cc51dab199960d6,,,,,,,,,,,,
Alejandro Landes,T5,Breakout,Intl/US,Drama,Prestige drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Alejandro+Landes,https://www.imdb.com/find/?q=Alejandro+Landes&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:986c046b9dd641bf234659494dac62656a7b3137,,,,,,,,,,,,
Anna Kendrick,T5,Breakout,US/UK,Comedy,Drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Anna+Kendrick,https://www.imdb.com/find/?q=Anna+Kendrick&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:af1815cdc5d137f3f3861d6f574629977b0cc429,,,,,,,,,,,,
Beth de Araújo,T5,Breakout,US/UK,Comedy,Drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Beth+de+Ara%C3%BAjo,https://www.imdb.com/find/?q=Beth+de+Ara%C3%BAjo&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:9d178ca4df71910ee4797f1c688de880928b41ae,,,,,,,,,,,,
Boots Riley,T5,Breakout,US/Intl,Drama,"Prestige drama,Thriller/Mystery",Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Boots+Riley,https://www.imdb.com/find/?q=Boots+Riley&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:f82c96ee85b78fb1e0ad57e96a4da87f044ef039,,,,,,,,,,,,
Brady Corbet,T5,Breakout,US/Intl,Drama,"Prestige drama,Thriller/Mystery",Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Brady+Corbet,https://www.imdb.com/find/?q=Brady+Corbet&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:6377ae5ab3264f47326019eedc088660804790eb,,,,,,,,,,,,
Cary Joji Fukunaga,T5,Breakout,Intl/US,Drama,Prestige drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Cary+Joji+Fukunaga,https://www.imdb.com/find/?q=Cary+Joji+Fukunaga&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a5db980e4ccaeff649b132cdbd1a6924d935cf45,,,,,,,,,,,,
Celine Song,T5,Breakout,US/Intl,Drama,"Prestige drama,Thriller/Mystery",Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Celine+Song,https://www.imdb.com/find/?q=Celine+Song&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:9c7002319ecb37181ead805564d6de316837220a,,,,,,,,,,,,
Chandler Levack,T5,Breakout,US/UK,Comedy,Drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Chandler+Levack,https://www.imdb.com/find/?q=Chandler+Levack&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:0035593ed5aaf873e9f359058840c17ccca94c19,,,,,,,,,,,,
Charlotte Regan,T5,Breakout,Intl/US,Drama,Prestige drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Charlotte+Regan,https://www.imdb.com/find/?q=Charlotte+Regan&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:3852803b26469adbe0f177ec8c02600f1f587f65,,,,,,,,,,,,
Charlotte Wells,T5,Breakout,US/Intl,Drama,"Prestige drama,Thriller/Mystery",Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Charlotte+Wells,https://www.imdb.com/find/?q=Charlotte+Wells&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:94786436d075ea9758a918a58b6a1fbca178d4f6,,,,,,,,,,,,
Chloe Domont,T5,Breakout,US/Intl,Drama,"Prestige drama,Thriller/Mystery",Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Chloe+Domont,https://www.imdb.com/find/?q=Chloe+Domont&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:30adb53a9c494f6c89a42daa7de60bae0a8d38fe,,,,,,,,,,,,
Chloé Okuno,T5,Breakout,US/Intl,Drama,"Prestige drama,Thriller/Mystery",Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Chlo%C3%A9+Okuno,https://www.imdb.com/find/?q=Chlo%C3%A9+Okuno&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a3f00a8c4d25d9d21774a2b10a43967cab057d17,,,,,,,,,,,,
Cooper Raiff,T5,Breakout,Intl/US,Drama,Prestige drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Cooper+Raiff,https://www.imdb.com/find/?q=Cooper+Raiff&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:eb8f2cd86e0ba93bf1e42bbb43fd93176903d497,,,,,,,,,,,,
Cord Jefferson,T5,Breakout,US/UK,Comedy,Drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Cord+Jefferson,https://www.imdb.com/find/?q=Cord+Jefferson&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:59fa4ca0447bf39502e7b17a69567997c294ae97,,,,,,,,,,,,
Cory Finley,T5,Breakout,US/Intl,Drama,"Prestige drama,Thriller/Mystery",Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Cory+Finley,https://www.imdb.com/find/?q=Cory+Finley&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:2fffba44281674ae395e4771253e20e4ee035ac5,,,,,,,,,,,,
Daina O. Pusic,T5,Breakout,US/Intl,Drama,"Prestige drama,Thriller/Mystery",Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Daina+O.+Pusic,https://www.imdb.com/find/?q=Daina+O.+Pusic&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:49f81f3997eba082ff1aa346c8a9de33f5de15f9,,,,,,,,,,,,
Daniel Kwan,T5,Breakout,US/Intl,Drama,"Prestige drama,Thriller/Mystery",Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Daniel+Kwan,https://www.imdb.com/find/?q=Daniel+Kwan&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a02e08f4645be770a9e347f8c2f208e57c066b2d,,,,,,,,,,,,
Daniel Scheinert,T5,Breakout,US/Intl,Drama,"Prestige drama,Thriller/Mystery",Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Daniel+Scheinert,https://www.imdb.com/find/?q=Daniel+Scheinert&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:578533ba1b5ac6bb4511906870416366e669abe9,,,,,,,,,,,,
Danny Philippou,T5,Breakout,US/Intl,Horror,Thriller/Mystery,Low,"fresh, high-concept",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Danny+Philippou,https://www.imdb.com/find/?q=Danny+Philippou&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:52b36ea661ebaf79dad41b0d46e50c766212bafd,,,,,,,,,,,,
Darius Marder,T5,Breakout,Intl/US,Drama,Prestige drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Darius+Marder,https://www.imdb.com/find/?q=Darius+Marder&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:84d15b35955894431f2419898f14c6c25b0f23ea,,,,,,,,,,,,
Dave Green,T5,Breakout,US/UK,Comedy,Drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Dave+Green,https://www.imdb.com/find/?q=Dave+Green&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:49c6932719bd4614241ad81295797c3b80f15708,,,,,,,,,,,,
David Gordon Green,T5,Breakout,Intl/US,Drama,Prestige drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=David+Gordon+Green,https://www.imdb.com/find/?q=David+Gordon+Green&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:f61073ee2ff77ca1b8010340362a26247c9707a3,,,,,,,,,,,,
Demian Rugna,T5,Breakout,US/Intl,Horror,Thriller/Mystery,Low,"fresh, high-concept",,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Demian+Rugna,https://www.imdb.com/find/?q=Demian+Rugna&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:7d88789f29930ffd253ca8377bf782d17ca7fee2,,,,,,,,,,,,
Derek Cianfrance,T5,Breakout,Intl/US,Drama,Prestige drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Derek+Cianfrance,https://www.imdb.com/find/?q=Derek+Cianfrance&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:42a155424522b490e1f088d089a83d24b84bd34c,,,,,,,,,,,,
Emma Seligman,T5,Breakout,US/UK,Comedy,Drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Emma+Seligman,https://www.imdb.com/find/?q=Emma+Seligman&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:02bf630d2c6e8b3bd345ecfad55229cb219435d2,,,,,,,,,,,,
Emma Tammi,T5,Breakout,US/Intl,Drama,"Prestige drama,Thriller/Mystery",Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Emma+Tammi,https://www.imdb.com/find/?q=Emma+Tammi&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:a1d77cf547a9db5720c351dee84186de1989d921,,,,,,,,,,,,
Florian Zeller,T5,Breakout,Intl/US,Drama,Prestige drama,Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Florian+Zeller,https://www.imdb.com/find/?q=Florian+Zeller&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:bb10dd4047e5b06fff33b297b38fbf376758053c,,,,,,,,,,,,
Fran Kranz,T5,Breakout,US/Intl,Drama,"Prestige drama,Thriller/Mystery",Low/Mid,voice-driven,,,,,,,,,,Seeded,2026-01-29,https://en.wikipedia.org/w/index.php?search=Fran+Kranz,https://www.imdb.com/find/?q=Fran+Kranz&s=nm,,,,,,,,,,,,,,,,,,,,,,MANUAL:2591c16d05c714297461ed17e103d321ad3e5845,,,,,,,,,,,,
